period,theta,mu,xi,n,a,s,psi,support,quota_wedge,signal_precision,natural_entry,quota_gap
18,-0.6306628110468291,-0.2591223254716042,12.178532313639732,1.25,0.125,0.375,-0.03724215197749825,0.0,0.03724215197749825,1.4811247357338566,1.2904348776129217,0.04043487761292175
19,-0.5350427500049503,-0.28766166241478885,12.151776837864595,1.25,0.125,0.375,-0.0047645374150449005,0.0,0.0047645374150449005,1.4811247357338566,1.2552330743671924,0.005233074367192447
20,-0.45038482425769516,-0.33490318650767575,12.135369326605378,1.25,0.125,0.375,0.026170992260743042,0.026170992260743042,0.0,1.4811247357338566,1.220933091087737,0.0
21,-0.5786657352433603,-0.17704891248502844,12.125297694277656,1.25,0.125,0.375,-0.07120580015585298,0.0,0.07120580015585298,1.4811247357338566,1.3263951120921016,0.07639511209210159
22,-0.3462364423172076,-0.17621867279167025,12.119111562748262,1.25,0.125,0.375,-0.07120580015585298,0.0,0.07120580015585298,1.4811247357338566,1.3263951120921016,0.07639511209210159
23,-0.2771118463489832,-0.2334945638706426,12.115310549144006,1.25,0.125,0.375,-0.03724215197749825,0.0,0.03724215197749825,1.4811247357338566,1.2904348776129217,0.04043487761292175
24,-0.15940682377542498,-0.23342888779202842,12.112974518106734,1.25,0.125,0.375,-0.03724215197749825,0.0,0.03724215197749825,1.4811247357338566,1.2904348776129217,0.04043487761292175
25,-0.2072093983320236,-0.27427213213964585,12.11153863667601,1.25,0.125,0.375,-0.03724215197749825,0.0,0.03724215197749825,1.4811247357338566,1.2904348776129217,0.04043487761292175
26,0.017937519758884773,-0.3147541501518965,12.110655971664691,1.25,0.125,0.375,-0.0047645374150449005,0.0,0.0047645374150449005,1.4811247357338566,1.2552330743671924,0.005233074367192447
27,-0.20788428612081658,-0.24388562444301778,12.110113351147678,1.25,0.125,0.375,-0.03724215197749825,0.0,0.03724215197749825,1.4811247357338566,1.2904348776129217,0.04043487761292175
28,-0.20571099622496453,-0.14032810894190434,12.109779762986932,1.5,0.125,0.375,0.1258352723859858,0.1258352723859858,0.0,1.673560610966864,1.3629565903424594,0.0
29,0.03883367517372324,-0.22112188079382838,12.227365191582118,1.25,0.125,0.375,-0.07120580015585298,0.0,0.07120580015585298,1.4811247357338566,1.3263951120921016,0.07639511209210159
30,0.12975922528877565,-0.18754094075958716,12.18167158769997,1.25,0.125,0.375,-0.07120580015585298,0.0,0.07120580015585298,1.4811247357338566,1.3263951120921016,0.07639511209210159
31,0.29194929417857535,-0.018716851008766428,12.153700653750583,1.5,0.0,0.375,0.02302413515220747,0.02302413515220747,0.0,1.2750937988318962,1.4757981955722759,0.0
32,0.31605969984624505,0.0705060717142416,12.009541240280013,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
33,0.04231767753128124,0.03105709633452044,11.919958804044105,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
34,-0.02793534655779012,0.04034746271082108,11.863991672684104,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
35,-0.10018787632202905,0.0904347245356341,11.828908598869372,1.5,0.0,0.375,-0.04871677778968064,0.0,0.04871677778968064,1.2750937988318962,1.550000130435174,0.05000013043517404
36,-0.24805382942298795,0.16561616116333375,11.806870539070381,1.5,0.0,0.375,-0.08527962633412156,0.0,0.08527962633412156,1.2750937988318962,1.5864889337898034,0.08648893378980338
37,-0.26817607564362395,0.1439702567526009,11.793008689022802,1.5,0.0,0.375,-0.08527962633412156,0.0,0.08527962633412156,1.2750937988318962,1.5864889337898034,0.08648893378980338
38,-0.019369688286571846,0.1004539327297647,11.784282415762505,1.5,0.0,0.375,-0.04871677778968064,0.0,0.04871677778968064,1.2750937988318962,1.550000130435174,0.05000013043517404
39,-0.11504612052900241,0.043159563171233414,11.778786211441426,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
40,0.000537138484961272,0.18657430071990544,11.775323314685197,1.5,0.0,0.375,-0.12206897012781037,0.0,0.12206897012781037,1.2750937988318962,1.6223437993991237,0.12234379939912365
41,0.042497175038800676,0.06186325353091928,11.773141056824205,1.5,0.0,0.375,-0.01255872496765964,0.0,0.01255872496765964,1.2750937988318962,1.513044562035311,0.013044562035311014
