k,m,n,s,psi,support,quota,natural,period
3.885174259779754,7.765878994553816,2.868822608241564,0.3125,0.009392447468468346,0.009392447468468346,0.0,2.8570806216222424,29
3.8781981493577695,7.828193490330116,2.8659158955657373,0.3125,0.004124107326797466,0.004124107326797466,0.0,2.8607659127200726,30
3.872996356864177,7.8833628971870295,2.86374848202674,0.3125,-0.00039490287525323353,0.0,0.0004926877176090194,2.864241169744349,31
3.869225961586619,7.932244981544951,2.862177483994424,0.3125,-0.0042797135437140366,0.0,0.005335534816206966,2.867513018810631,32
3.866605205776823,7.975590528167547,2.8610855024070094,0.3125,-0.007626185213202685,0.0,0.009502001674734473,2.870587504081744,33
3.8649026932064565,8.01405696541783,2.8730365099669486,0.3148738227120484,-0.010489259544808727,0.0,0.013044778720042949,2.8860812886869915,34
3.8669909401336042,8.049556027244549,2.9051888956857415,0.3207392507431387,-0.01245557751121984,0.0,0.015435446586924861,2.9206243422726663,35
3.876764771307009,8.084502348620894,2.934743096427192,0.32551708282173847,-0.013500147666262396,0.0,0.016692868757844703,2.951435965185037,36
3.891747953442343,8.118663883905768,2.9571990358361733,0.3285570103565995,-0.014172762970783515,0.0,0.017510557581355002,2.9747095934175283,37
3.9090230974305546,8.151404998452431,2.9705886758809568,0.32971794724091735,-0.014887111629686034,0.0,0.0184007741607779,2.9889894500417347,38
3.9259204320060572,8.181987548183448,2.975677239667235,0.3293519486871334,-0.015778408439375946,0.0,0.01952624632842026,2.9952034859956553,39
3.940565915310629,8.20983222364972,2.9750437057191386,0.32808898268869563,-0.016787233820909853,0.0,0.020807054284757598,2.995850760003896,40
3.9520999407015784,8.234663691995033,2.9716443403706485,0.3265505059521858,-0.017816143311885524,0.0,0.022115579616081682,2.99375991998673,41
3.9605362627583065,8.256515549403188,2.965996338218784,0.32483241788802925,-0.018844194391202995,0.0,0.023424598558107412,2.9894209367768916,42
3.9660041329925333,8.275466734547098,2.9591615004259997,0.32312370843983335,-0.0198469111780617,0.0,0.02470095106506287,2.9838624514910626,43
3.968852507426272,8.291691547931173,2.9556010323838264,0.3222335914292899,-0.020774556459466798,0.0,0.025870578666585597,2.981471611050412,44
3.9704108957293864,8.305792142317152,2.9536530470049334,0.32174659508456677,-0.021626043799433115,0.0,0.026938432126345724,2.980591479131279,45
3.9713268104317465,8.318152806568742,2.9525081536269835,0.32146037174007924,-0.022396671073558583,0.0,0.02790201363904865,2.980410167266032,46
3.9719148274888036,8.329040529896066,2.9517731323056617,0.32127661640974886,-0.023087128947286928,0.0,0.028763927846140902,2.9805370601518026,47
3.9723283258113744,8.33865619333811,2.9512562594024483,0.3211473981839455,-0.023702027083420507,0.0,0.029530809977104777,2.980787069379553,48
3.972642880075797,8.347160596314373,2.95086306657192,0.32104909997631337,-0.024247784125895455,0.0,0.030211108269361464,2.9810741748412815,49
3.9728964950787233,8.354687969479677,2.9505460478182624,0.32096984528789896,-0.024731302831266566,0.0,0.03081364905090478,2.981359696869167,50
3.973108961118035,8.361353304203583,2.950280465269123,0.3209034496506141,-0.025159294408058752,0.0,0.03134690627784398,2.981627371546967,51
3.9732911585314143,8.367256606338097,2.950052718502399,0.320846512958933,-0.02553798151409281,0.0,0.03181868824352341,2.981871406745922,52
3.9734495359818265,8.3724855890276,2.9498547466893834,0.3207970200056792,-0.025872997033809186,0.0,0.03223604009092984,2.9820907867803133,53
3.9735882737208135,8.377117543175768,2.94968132451565,0.32075366446224585,-0.026169376812653633,0.0,0.03260524908302287,2.9822865735986728,54
3.973710336342113,8.381220748413414,2.9495287462390256,0.3207155198930898,-0.026431593878330162,0.0,0.032931894358702696,2.9824606405977283,55
3.9738179921284313,8.384855605806989,2.9493941765061273,0.3206818774598652,-0.026663608311380482,0.0,0.03322091258823123,2.9826150890943586,56
3.9739130753780567,8.388075585616646,2.9492753224440955,0.3206521639443573,-0.026868920558193343,0.0,0.033476666131666555,2.982751988575762,57
3.973997124117899,8.390928040568769,2.949170261519293,0.3206258987131566,-0.02705062274406944,0.0,0.03370300782340507,2.982873269342698,58
3.974071456713557,8.393454913959157,2.94907734577472,0.32060266977701346,-0.027211445817777014,0.0,0.03390334012895302,2.982980685903673,59
3.974137217924461,8.395693361212643,2.94907734577472,0.32060266977701346,-0.027211445817777014,0.0,0.03390334012895302,2.982980685903673,60
