period,hotspot_a,belief_a,n,a,test_intensity,s,psi,support,quota_wedge,signal_accuracy,natural_entry,quota_gap
12,1,0.6415684925266835,1.0,0.7000000000000001,0.8399999999999999,0.375,0.3803265321115691,0.3803265321115691,0.0,0.6833611216184847,0.5820917321662376,0.0
13,1,0.7472665405870782,1.0,1.0,0.0,0.375,0.35199923234993297,0.35199923234993297,0.0,0.5390844171540782,0.619216164762131,0.0
14,1,0.7315825024563413,1.0,1.0,0.0,0.375,0.353838456928034,0.353838456928034,0.0,0.5390844171540782,0.6168414130072724,0.0
15,1,0.7194162327309339,1.0,1.0,0.0,0.375,0.35567444150586974,0.35567444150586974,0.0,0.5390844171540782,0.6144659838173967,0.0
16,1,0.656859479298019,1.0,0.75,0.75,0.375,0.37655813045363856,0.37655813045363856,0.0,0.6707147342675921,0.5870991332981195,0.0
17,1,0.7485404515343127,1.0,1.0,0.0,0.375,0.35199923234993297,0.35199923234993297,0.0,0.5390844171540782,0.619216164762131,0.0
18,1,0.7325681664282021,1.0,1.0,0.0,0.375,0.353838456928034,0.353838456928034,0.0,0.5390844171540782,0.6168414130072724,0.0
19,1,0.7201825177313902,1.0,1.0,0.0,0.375,0.35567444150586974,0.35567444150586974,0.0,0.5390844171540782,0.6144659838173967,0.0
20,1,0.7105369494745205,1.0,1.0,0.0,0.375,0.3575071946373417,0.3575071946373417,0.0,0.5390844171540782,0.612089874981983,0.0
21,1,0.7030002248324911,1.0,1.0,0.0,0.375,0.3593367248462667,0.3593367248462667,0.0,0.5390844171540782,0.6097130842797758,0.0
22,1,0.697095947590028,1.0,1.0,0.0,0.375,0.3593367248462667,0.3593367248462667,0.0,0.5390844171540782,0.6097130842797758,0.0
23,1,0.6924611021828135,1.0,1.0,0.0,0.375,0.36116304062650934,0.36116304062650934,0.0,0.5390844171540782,0.6073356094787159,0.0
24,1,0.688816938483558,1.0,1.0,0.0,0.375,0.36116304062650934,0.36116304062650934,0.0,0.5390844171540782,0.6073356094787159,0.0
25,1,0.6296010368379182,1.0,0.7000000000000001,0.8399999999999999,0.375,0.38104276157061934,0.38104276157061934,0.0,0.6833611216184847,0.5811375867420083,0.0
26,1,0.740068465304118,1.0,1.0,0.0,0.375,0.353838456928034,0.353838456928034,0.0,0.5390844171540782,0.6168414130072724,0.0
27,1,0.6754100453953512,1.0,0.8500000000000001,0.5099999999999998,0.375,0.37060839234764176,0.37060839234764176,0.0,0.6339807835168263,0.5949616256184544,0.0
28,1,0.7375564893760715,1.0,1.0,0.0,0.375,0.353838456928034,0.353838456928034,0.0,0.5390844171540782,0.6168414130072724,0.0
29,1,0.6731470538998103,1.0,0.8500000000000001,0.5099999999999998,0.375,0.37060839234764176,0.37060839234764176,0.0,0.6339807835168263,0.5949616256184544,0.0
